,y,six_cycle_mp_num,six_cycle_mp_avg_amt,epp_nbr_12m,epp_avg_amt_12m,alop_nbr_12m,alop_avg_amt_12m,six_bill_low_repay_num,consume_amt_session,consume_num_session
2340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7895.0,1.0
2341,0.0,0.0,0.0,3.0,957.29,0.0,0.0,0.0,4875.61,45.0
2342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.6,9.0
2343,0.0,0.0,0.0,1.0,2830.87,0.0,0.0,0.0,66990.84,63.0
2344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5101.0,4.0
2345,0.0,0.0,0.0,1.0,253.75,0.0,0.0,0.0,508.0,1.0
2346,0.0,0.0,0.0,0.0,0.0,5.0,1916.67,5.0,0.0,0.0
2347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28568.0,3.0
2348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57659.84,89.0
2349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78884.89,125.0
2350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44671.8,5.0
2351,0.0,0.0,0.0,5.0,8040.32,2.0,7750.0,1.0,71767.12,32.0
2352,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,0.0,0.0
2353,0.0,1.0,48000.0,2.0,6416.67,0.0,0.0,0.0,0.0,0.0
2354,0.0,1.0,13900.0,2.0,1985.24,0.0,0.0,0.0,1125.4,11.0
2355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1433.69,4.0
2356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900.0,1.0
2357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,1.0
2358,0.0,1.0,4500.0,6.0,1718.97,0.0,0.0,0.0,26228.9,11.0
2359,0.0,0.0,0.0,1.0,145.37,0.0,0.0,0.0,0.0,0.0
2360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8711.25,101.0
2361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2245.95,47.0
2362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27766.0,2.0
2363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.49,6.0
2364,0.0,0.0,0.0,1.0,258.25,0.0,0.0,1.0,541.0,2.0
2365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1677.0,1.0
2366,0.0,0.0,0.0,1.0,416.67,0.0,0.0,0.0,6958.4,6.0
2367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,2.0
2368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,1.0
2369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0
2370,0.0,0.0,0.0,2.0,2098.04,0.0,0.0,0.0,1011.0,3.0
2371,0.0,0.0,0.0,0.0,0.0,1.0,416.67,0.0,11812.13,12.0
2372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.0,2.0
2373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,1.0
2374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27174.0,2.0
2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11509.0,1.0
2376,0.0,0.0,0.0,1.0,2115.59,0.0,0.0,0.0,42640.0,7.0
2377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14795.0,3.0
2378,0.0,0.0,0.0,0.0,0.0,2.0,1666.67,0.0,3100.0,2.0
2379,0.0,1.0,4614.78,14.0,2148.96,4.0,1333.33,1.0,1464.76,11.0
2380,0.0,1.0,11666.61,2.0,1930.48,4.0,4250.0,6.0,14586.8,4.0
2381,0.0,0.0,0.0,6.0,175.0,2.0,3083.33,3.0,0.0,0.0
2382,0.0,0.0,0.0,3.0,5013.17,0.0,0.0,0.0,34990.0,6.0
2383,0.0,1.0,20512.0,0.0,0.0,0.0,0.0,1.0,1385.45,11.0
2384,0.0,1.0,7697.05,1.0,641.42,0.0,0.0,1.0,9000.49,12.0
2385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16010.0,1.0
2386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6980.0,2.0
2387,0.0,0.0,0.0,1.0,308.34,4.0,1333.33,6.0,822.87,7.0
2388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.0,1.0
2389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18000.0,3.0
2390,0.0,2.0,1176.12,3.0,571.26,0.0,0.0,3.0,30.6,1.0
2391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2998.0,2.0
2392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2277.8,14.0
2393,0.0,1.0,28069.76,1.0,2339.15,0.0,0.0,0.0,0.0,0.0
2394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4523.0,1.0
2395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12443.93,8.0
2396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4520.0,1.0
2398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2399,0.0,0.0,0.0,1.0,1666.67,0.0,0.0,4.0,1517.7,8.0
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20712.94,86.0
2401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6492.94,74.0
2402,0.0,2.0,18430.885,2.0,3071.81,0.0,0.0,0.0,592.97,10.0
2403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,1.0
2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.3,12.0
2405,0.0,0.0,0.0,1.0,326.83,0.0,0.0,0.0,18750.0,1.0
2406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,2.0
2407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3045.0,3.0
2408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0
2409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13201.77,35.0
2410,0.0,2.0,551.405,7.0,827.82,2.0,583.33,3.0,0.0,0.0
2411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27201.0,6.0
2412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.31,30.0
2413,0.0,2.0,3268.91,4.0,1890.42,7.0,3583.33,5.0,0.0,0.0
2414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5848.0,3.0
2415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34670.78,18.0
2416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5980.0,2.0
2418,0.0,0.0,0.0,3.0,4283.61,1.0,833.33,2.0,10900.0,2.0
2419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0
2420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4518.26,38.0
2421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20124.0,6.0
2422,0.0,0.0,0.0,1.0,387.65,0.0,0.0,0.0,4065.6,5.0
2423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,1.0
2424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6583.0,1.0
2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707.31,6.0
2426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8349.67,8.0
2427,0.0,0.0,0.0,1.0,86.84,0.0,0.0,0.0,903.88,11.0
2428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.1,3.0
2429,0.0,0.0,0.0,2.0,869.75,0.0,0.0,0.0,6985.0,1.0
2430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28750.0,3.0
2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30539.54,31.0
2432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.73,2.0
2433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10096.92,43.0
2434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9344.84,8.0
2435,0.0,0.0,0.0,0.0,0.0,1.0,833.33,0.0,7466.12,8.0
2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0
2437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2438,0.0,0.0,0.0,1.0,383.28,0.0,0.0,1.0,2876.5,1.0
2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49952.0,3.0
2440,0.0,0.0,0.0,0.0,0.0,2.0,833.33,1.0,0.0,0.0
2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2442,0.0,0.0,0.0,1.0,1666.67,0.0,0.0,1.0,814.99,16.0
2443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14801.0,10.0
2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.04,21.0
2445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4490.0,3.0
2446,0.0,0.0,0.0,4.0,1657.81,0.0,0.0,1.0,2600.0,1.0
2447,0.0,0.0,0.0,0.0,0.0,1.0,833.33,0.0,20857.0,3.0
2448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,157.64,6.0
2450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,2.0
2451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29997.0,3.0
2452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,399.0,2.0
2453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2946.3,4.0
2454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11867.69,59.0
2455,0.0,1.0,3439.58,1.0,286.63,0.0,0.0,1.0,453.0,2.0
2456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20659.0,3.0
2457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9941.19,8.0
2458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11980.0,1.0
2460,0.0,0.0,0.0,1.0,328.33,0.0,0.0,0.0,3860.0,1.0
2461,0.0,0.0,0.0,0.0,0.0,1.0,166.67,0.0,22480.0,17.0
2462,0.0,0.0,0.0,0.0,0.0,1.0,1666.67,0.0,21735.88,7.0
2463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19838.45,112.0
2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52407.24,8.0
2465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6003.0,4.0
2466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,4.0
2467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34963.56,12.0
2468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7073.0,3.0
2469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36697.3,8.0
2470,0.0,0.0,0.0,0.0,0.0,1.0,1666.67,2.0,18201.0,15.0
2471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7103.61,24.0
2472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4366.0,2.0
2473,0.0,0.0,0.0,0.0,0.0,1.0,750.0,0.0,16160.0,1.0
2474,0.0,1.0,8005.79,3.0,956.62,0.0,0.0,2.0,99.0,1.0
2475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0
2476,0.0,1.0,1991.72,1.0,165.98,0.0,0.0,1.0,409.1,5.0
2477,0.0,2.0,16167.775,2.0,2694.63,0.0,0.0,1.0,14998.98,4.0
2478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20011.49,4.0
2479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2524.0,2.0
2481,0.0,1.0,59000.0,6.0,15220.24,2.0,25833.33,1.0,0.0,0.0
2482,0.0,1.0,715.57,3.0,259.88,0.0,0.0,2.0,3937.57,28.0
2483,0.0,3.0,902.8866667,9.0,709.95,0.0,0.0,1.0,3300.0,3.0
2484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10634.38,25.0
