var_name,split_list,sub_total_sample_num,positive_sample_num,negative_sample_num,sub_total_num_percentage,positive_rate_in_sub_total,woe_list,iv_list,iv
this_bill_mp,"(14202.056399999998,17733.3004]",382,70.0,312.0,0.05093333333333333,0.18324607329842932,-0.09985820911273574,0.0004926565950139182,0.3066557486945007
this_bill_mp,"(17733.3004,22508.99080000002]",431,87.0,344.0,0.057466666666666666,0.20185614849187936,0.019915948597928477,2.293073424085244e-05,0.3066557486945007
this_bill_mp,"(22508.99080000002,33143.476800000004]",444,102.0,342.0,0.0592,0.22972972972972974,0.1848113928054727,0.0021348059728805084,0.3066557486945007
this_bill_mp,"(33143.476800000004,+INF)",501,129.0,372.0,0.0668,0.25748502994011974,0.33556768505460377,0.0082819423723896,0.3066557486945007
last_mp_days,"(-INF,60.0]",931,564.0,367.0,0.12413333333333333,0.6058002148227712,1.824340936858659,0.5791528083298829,0.9601405545822382
last_mp_days,"(60.0,211.0]",722,263.0,459.0,0.09626666666666667,0.36426592797783935,0.8377526130701324,0.08389037307579426,0.9601405545822382
last_mp_days,"(211.0,364.0]",414,77.0,337.0,0.0552,0.1859903381642512,-0.08162787794433493,0.0003587797049758442,0.9601405545822382
last_mp_days,"(364.0,+INF)",5433,586.0,4847.0,0.7244,0.10785937787594331,-0.7181466676614835,0.29673859347158515,0.9601405545822382
six_bill_num,"(-INF,1.0]",413,116.0,297.0,0.05506666666666667,0.28087167070217917,0.4545072062617276,0.012923804326980867,0.01843288211822203
six_bill_num,"(1.0,5.0]",1476,255.0,1221.0,0.1968,0.17276422764227642,-0.17151299010582283,0.005491915851553019,0.01843288211822203
six_bill_num,"(5.0,6.0]",5611,1119.0,4492.0,0.7481333333333333,0.19942969167706293,0.004786088147042327,1.7161939688145175e-05,0.01843288211822203
six_bill_avg_amt,"(-INF,1072.0240000000003]",709,116.0,593.0,0.09453333333333333,0.16361071932299012,-0.23695488586706825,0.0049325679986232975,0.0562241500659432
six_bill_avg_amt,"(1072.0240000000003,1442.44]",390,49.0,341.0,0.052,0.12564102564102564,-0.5454118030239866,0.013009605311035139,0.0562241500659432
six_bill_avg_amt,"(1442.44,1887.3436]",476,67.0,409.0,0.06346666666666667,0.1407563025210084,-0.41437266002463513,0.009566518491222763,0.0562241500659432
six_bill_avg_amt,"(1887.3436,2424.0985]",482,106.0,376.0,0.06426666666666667,0.21991701244813278,0.12849925675029114,0.0011023429614201638,0.0562241500659432
six_bill_avg_amt,"(2424.0985,3301.08]",588,121.0,467.0,0.0784,0.20578231292517007,0.04411052883079243,0.0001545755209627468,0.0562241500659432
six_bill_avg_amt,"(3301.08,4514.5235999999995]",674,165.0,509.0,0.08986666666666666,0.24480712166172106,0.2681464955365938,0.006984177357778549,0.0562241500659432
six_bill_avg_amt,"(4514.5235999999995,5395.2788]",396,86.0,310.0,0.0528,0.21717171717171718,0.11242446757349293,0.0006900020719046021,0.0562241500659432
six_bill_avg_amt,"(5395.2788,6476.382]",414,67.0,347.0,0.0552,0.16183574879227053,-0.2499823276143415,0.003192427162108343,0.0562241500659432
six_bill_avg_amt,"(6476.382,7728.0]",382,86.0,296.0,0.05093333333333333,0.225130890052356,0.15863729547143665,0.00134316982285697,0.0562241500659432
six_bill_avg_amt,"(7728.0,9980.1204]",595,119.0,476.0,0.07933333333333334,0.2,0.00835489772162778,5.551755782583358e-06,0.0562241500659432
six_bill_avg_amt,"(9980.1204,11901.554]",380,68.0,312.0,0.050666666666666665,0.17894736842105263,-0.12884570396924228,0.0008086154311955704,0.0562241500659432
six_bill_avg_amt,"(11901.554,15593.36]",549,120.0,429.0,0.0732,0.2185792349726776,0.12068405267655775,0.0011049749330693571,0.0562241500659432
six_bill_avg_amt,"(15593.36,23176.999600000003]",635,112.0,523.0,0.08466666666666667,0.1763779527559055,-0.14643326252790623,0.0017357898613611072,0.0562241500659432
six_bill_avg_amt,"(23176.999600000003,32816.2388]",382,102.0,280.0,0.05093333333333333,0.2670157068062827,0.384832461953653,0.008415288461516842,0.0562241500659432
six_bill_avg_amt,"(32816.2388,+INF)",448,106.0,342.0,0.05973333333333333,0.23660714285714285,0.22327763663737382,0.0031785429251051586,0.0562241500659432
six_cycle_mp_num,"(-INF,0.0]",6037,723.0,5314.0,0.8049333333333333,0.1197614709292695,-0.6000421560768848,0.23939165561267092,0.9801964062518462
six_cycle_mp_num,"(0.0,1.0]",838,321.0,517.0,0.11173333333333334,0.383054892601432,0.9180469953141873,0.11880721357993358,0.9801964062518462
six_cycle_mp_num,"(1.0,+INF)",625,446.0,179.0,0.08333333333333333,0.7136,2.307581440325217,0.6219975370592418,0.9801964062518462
six_cycle_mp_avg_amt,"(-INF,0.0]",6037,723.0,5314.0,0.8049333333333333,0.1197614709292695,-0.6000421560768848,0.23939165561267092,0.8709748576044183
six_cycle_mp_avg_amt,"(0.0,8126.14306648]",907,536.0,371.0,0.12093333333333334,0.5909592061742006,1.7625806440785192,0.5252510498224507,0.8709748576044183
six_cycle_mp_avg_amt,"(8126.14306648,+INF)",556,231.0,325.0,0.07413333333333333,0.4154676258992806,1.0532412819898833,0.10633215216929653,0.8709748576044183
six_bill_avg_debt_rate,"(-INF,0.110875714]",657,83.0,574.0,0.0876,0.1263318112633181,-0.5391391293306814,0.021459214081279335,0.057358949121602776
six_bill_avg_debt_rate,"(0.110875714,0.20280109306000002]",740,128.0,612.0,0.09866666666666667,0.17297297297297298,-0.1700527721519451,0.0027079530139939426,0.057358949121602776
six_bill_avg_debt_rate,"(0.20280109306000002,0.25566524157000003]",382,79.0,303.0,0.05093333333333333,0.20680628272251309,0.050364611336435695,0.0001311600912539509,0.057358949121602776
six_bill_avg_debt_rate,"(0.25566524157000003,0.31398646425]",381,62.0,319.0,0.0508,0.16272965879265092,-0.24340678972765392,0.002791246492675943,0.057358949121602776
six_bill_avg_debt_rate,"(0.31398646425,0.39592249]",465,82.0,383.0,0.062,0.17634408602150536,-0.14666615491176446,0.0012750442625577994,0.057358949121602776
six_bill_avg_debt_rate,"(0.39592249,0.4847806116000001]",448,89.0,359.0,0.05973333333333333,0.19866071428571427,-3.654512300924278e-05,7.97757724353786e-11,0.057358949121602776
six_bill_avg_debt_rate,"(0.4847806116000001,0.57842879796]",381,70.0,311.0,0.0508,0.1837270341207349,-0.09664793451307503,0.0004607373214102632,0.057358949121602776
six_bill_avg_debt_rate,"(0.57842879796,0.7461264146]",567,148.0,419.0,0.0756,0.26102292768959434,0.3539904194437173,0.010482283389826815,0.057358949121602776
six_bill_avg_debt_rate,"(0.7461264146,0.9053417417599999]",425,77.0,348.0,0.056666666666666664,0.1811764705882353,-0.11374741798686713,0.0007081449417564583,0.057358949121602776
six_bill_avg_debt_rate,"(0.9053417417599999,1.07659016]",388,91.0,297.0,0.05173333333333333,0.2345360824742268,0.21177675850411415,0.0024685204497821626,0.057358949121602776
six_bill_avg_debt_rate,"(1.07659016,1.32642864752]",474,86.0,388.0,0.0632,0.18143459915611815,-0.11200850972192122,0.0007662386713105117,0.057358949121602776
six_bill_avg_debt_rate,"(1.32642864752,1.8332018552]",711,164.0,547.0,0.0948,0.23066104078762306,0.19006668093253765,0.0036211864279936186,0.057358949121602776
six_bill_avg_debt_rate,"(1.8332018552,2.5145979334599993]",582,147.0,435.0,0.0776,0.25257731958762886,0.30973563466664705,0.00813935717319705,0.057358949121602776
six_bill_avg_debt_rate,"(2.5145979334599993,3.36519696584]",414,75.0,339.0,0.0552,0.18115942028985507,-0.11386232690715416,0.0006911863476868682,0.057358949121602776
six_bill_avg_debt_rate,"(3.36519696584,+INF)",485,109.0,376.0,0.06466666666666666,0.22474226804123712,0.15640801890235814,0.0016566763771022827,0.057358949121602776
six_bill_low_repay_num,"(-INF,0.0]",4628,710.0,3918.0,0.6170666666666667,0.15341400172860847,-0.3134228845575421,0.05497542703604496,0.12990064581767394
six_bill_low_repay_num,"(0.0,1.0]",1124,303.0,821.0,0.14986666666666668,0.2695729537366548,0.3978585328769661,0.026557096033895927,0.12990064581767394
six_bill_low_repay_num,"(1.0,2.0]",549,167.0,382.0,0.0732,0.30418943533697634,0.5672221694220739,0.027521537568997702,0.12990064581767394
six_bill_low_repay_num,"(2.0,3.0]",411,111.0,300.0,0.0548,0.27007299270072993,0.40039692281309897,0.009841712097265221,0.12990064581767394
six_bill_low_repay_num,"(3.0,+INF)",788,199.0,589.0,0.10506666666666667,0.25253807106598986,0.30952760239581817,0.011004873081470133,0.12990064581767394
epp_nbr_12m,"(-INF,0.0]",4801,491.0,4310.0,0.6401333333333333,0.1022703603415955,-0.7776002462494134,0.30140396065326697,0.8323464297506061
epp_nbr_12m,"(0.0,1.0]",1092,241.0,851.0,0.1456,0.2206959706959707,0.13303373093589624,0.0026803209267217687,0.8323464297506061
epp_nbr_12m,"(1.0,2.0]",465,143.0,322.0,0.062,0.30752688172043013,0.5829421020467442,0.02471431646717178,0.8323464297506061
epp_nbr_12m,"(2.0,+INF)",1142,615.0,527.0,0.15226666666666666,0.5385288966725044,1.5490703207032142,0.5035478317034456,0.8323464297506061
alop_nbr_12m,"(-INF,0.0]",6276,1111.0,5165.0,0.8368,0.17702358189929893,-0.14199589267644766,0.016153930420558668,0.08359841309536883
alop_nbr_12m,"(0.0,+INF)",1224,379.0,845.0,0.1632,0.309640522875817,0.5928483518240205,0.06744448267481017,0.08359841309536883
epp_avg_amt_12m,"(-INF,0.0]",4801,491.0,4310.0,0.6401333333333333,0.1022703603415955,-0.7776002462494134,0.30140396065326697,0.689080025085906
epp_avg_amt_12m,"(0.0,416.67]",611,166.0,445.0,0.08146666666666667,0.27168576104746317,0.40856251247043274,0.015266422513706142,0.689080025085906
epp_avg_amt_12m,"(416.67,833.33]",463,144.0,319.0,0.061733333333333335,0.31101511879049676,0.5992712063455332,0.02610793494088914,0.689080025085906
epp_avg_amt_12m,"(833.33,1315.65]",410,146.0,264.0,0.05466666666666667,0.35609756097560974,0.8023064532952341,0.04337255767040835,0.689080025085906
epp_avg_amt_12m,"(1315.65,3733.1756]",802,339.0,463.0,0.10693333333333334,0.4226932668329177,1.0829217608864738,0.1629565065729798,0.689080025085906
epp_avg_amt_12m,"(3733.1756,+INF)",413,204.0,209.0,0.05506666666666667,0.4939467312348668,1.370434382196327,0.1399726427346556,0.689080025085906
alop_avg_amt_12m,"(-INF,0.0]",6276,1111.0,5165.0,0.8368,0.17702358189929893,-0.14199589267644766,0.016153930420558668,0.08359841309536883
alop_avg_amt_12m,"(0.0,+INF)",1224,379.0,845.0,0.1632,0.309640522875817,0.5928483518240205,0.06744448267481017,0.08359841309536883
consume_num_session12,"(-INF,37.0]",4608,858.0,3750.0,0.6144,0.18619791666666666,-0.08025830100330245,0.003862116918289548,0.02803596252504573
consume_num_session12,"(37.0,53.0]",697,162.0,535.0,0.09293333333333334,0.23242467718794835,0.19997864729401574,0.003940895183455264,0.02803596252504573
consume_num_session12,"(53.0,68.0]",449,84.0,365.0,0.059866666666666665,0.1870824053452116,-0.07443100964651274,0.00032423813146926253,0.02803596252504573
consume_num_session12,"(68.0,92.0]",488,131.0,357.0,0.06506666666666666,0.26844262295081966,0.3921106532577427,0.011182413635325647,0.02803596252504573
consume_num_session12,"(92.0,130.0]",389,82.0,307.0,0.051866666666666665,0.21079691516709512,0.07452102204541022,0.00029451279787479924,0.02803596252504573
consume_num_session12,"(130.0,255.0]",486,115.0,371.0,0.0648,0.2366255144032922,0.22337929436866008,0.0034513908738555295,0.02803596252504573
consume_num_session12,"(255.0,+INF)",383,58.0,325.0,0.05106666666666667,0.1514360313315927,-0.3287321267493852,0.004980394984775685,0.02803596252504573
consume_num_session6,"(-INF,43.0]",5877,1143.0,4734.0,0.7836,0.19448698315467075,-0.026465431324095387,0.0005444744721284603,0.01195648122859614
consume_num_session6,"(43.0,76.0]",742,184.0,558.0,0.09893333333333333,0.24797843665768193,0.285225788084083,0.008740665969255972,0.01195648122859614
consume_num_session6,"(76.0,139.1300000000001]",458,93.0,365.0,0.061066666666666665,0.20305676855895197,0.02735156945618687,4.6061265933588733e-05,0.01195648122859614
consume_num_session6,"(139.1300000000001,+INF)",423,70.0,353.0,0.0564,0.16548463356973994,-0.22332304100985997,0.002625279521278117,0.01195648122859614
consume_num_session3,"(-INF,0.0]",521,8.0,513.0,0.06946666666666666,0.015355086372360844,-2.766173369911064,0.22126222211562752,0.24693118611822262
consume_num_session3,"(0.0,1.0]",406,66.0,340.0,0.05413333333333333,0.1625615763546798,-0.2446410259612694,0.003003464451466594,0.24693118611822262
consume_num_session3,"(1.0,2.0]",474,83.0,391.0,0.0632,0.1751054852320675,-0.15521737453491102,0.0014518238207898296,0.24693118611822262
consume_num_session3,"(2.0,3.0]",636,132.0,504.0,0.0848,0.20754716981132076,0.054874842267542634,0.0002595811367945836,0.24693118611822262
consume_num_session3,"(3.0,4.0]",486,98.0,388.0,0.0648,0.20164609053497942,0.018611530312764028,2.2571958548763094e-05,0.24693118611822262
